phase,kernel_index,kernel,label,duration_ms,l2_bandwidth_GBps,math_TOPS,tensor_TOPS,scalar_TOPS,op_class,arithmetic_intensity_ops_per_byte_L2,active_peak_TOPS
LLM full128,45,"void at::reduce_kernel<512, 1, at::ReduceOp<float, at::MeanOps<float, float, float, float>, unsigned int, float, 4, 4>>(T3)","void at::reduce_kernel<512, 1, a",14.24,74.995506,3.658202250733138,0.0,3.658202250733138,scalar,48.77895284462963,7.76108032
LLM full128,46,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnSelf_add<float>, std::array<char *, 2>>(int, T2, T3)",void at::vectorized_elementwise_,8.16,3.172549,0.040156906292239995,0.0,0.040156906292239995,scalar,12.657615782211716,4.88244736
LLM full128,48,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","void at::elementwise_kernel<128,",33.792,28.14678,0.511515156801264,0.0,0.511515156801264,scalar,18.17313230150177,3.25201408
LLM full128,51,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","void at::elementwise_kernel<128,",11.872,45.142857,1.4559568822743871,0.0,1.4559568822743871,scalar,32.25220951953456,8.09155584
LLM full128,52,nvjet_sm110_tst_112x128_64x9_1x2_2cta_h_bz_TNN,nvjet_attention,39.424,355.700487,30.952727297611933,29.78909090909091,1.163636388521024,tensor,87.0190748364422,514.0388571428572
LLM full128,53,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","void at::elementwise_kernel<128,",19.2,61.275,1.800533294283969,0.0,1.800533294283969,scalar,29.38446828696808,10.18253312
LLM full128,56,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","void at::elementwise_kernel<128,",19.648,80.346906,1.75947883700779,0.0,1.75947883700779,scalar,21.898526335386084,6.91006976
LLM full128,57,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::CUDAFunctor_add<c10::BFloat16>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","void at::elementwise_kernel<128,",22.176,82.480519,3.117806629317366,0.0,3.117806629317366,scalar,37.80052147001362,8.5458688
LLM full128,58,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","void at::elementwise_kernel<128,",16.032,39.742515,1.07816371319319,0.0,1.07816371319319,scalar,27.128723816124623,6.0051712
LLM full128,61,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","void at::elementwise_kernel<128,",16.256,56.098425,1.063307112118199,0.0,1.063307112118199,scalar,18.95431310448019,7.87974656
LLM full128,62,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::CUDAFunctor_add<c10::BFloat16>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","void at::elementwise_kernel<128,",15.232,63.321429,2.26957970580516,0.0,2.26957970580516,scalar,35.84220605326452,8.16245248
LLM full128,69,"void flash::flash_fwd_kernel<Flash_fwd_kernel_traits<128, 128, 64, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<128, 128, 64, 4, cutlass::bfloat16_t>>, 0, 1, 0, 0, 0, 1, 0, 0>(flash::Flash_fwd_params)",void flash::flash_fwd_kernel<Fla,37.632,100.594388,19.50884530360646,10.69975510204082,8.809090201565638,tensor,193.93572237455692,461.02726530612244
LLM full128,70,nvjet_sm110_tst_112x128_64x9_1x2_2cta_h_bz_TNN,nvjet_attention,59.392,457.033944,39.03779303096313,37.570206896551724,1.4675861344114083,tensor,85.41552228987861,608.8513103448277
LLM full128,71,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<c10::BFloat16>, std::array<char *, 3>>(int, T2, T3)",void at::vectorized_elementwise_,17.12,103.013084,4.038579541817905,0.0,4.038579541817905,scalar,39.20452999754773,8.49851392
LLM full128,74,"void at::vectorized_elementwise_kernel<4, void at::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)",void at::vectorized_elementwise_,21.024,83.640791,1.644322715149134,0.0,1.644322715149134,scalar,19.6593396055895,5.81520896
LLM full128,75,"void at::reduce_kernel<512, 1, at::ReduceOp<float, at::MeanOps<float, float, float, float>, unsigned int, float, 4, 4>>(T3)","void at::reduce_kernel<512, 1, a",32.768,58.923828,1.19246820015617,0.0,1.19246820015617,scalar,20.23745300723113,6.30454784
LLM full128,76,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnSelf_add<float>, std::array<char *, 2>>(int, T2, T3)",void at::vectorized_elementwise_,5.92,3.172973,0.027675682914800003,0.0,0.027675682914800003,scalar,8.722319072617385,4.60350464
LLM full128,78,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","void at::elementwise_kernel<128,",24.896,72.64653,1.3885861291522403,0.0,1.3885861291522403,scalar,19.11428018863723,7.64197376
LLM full128,81,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","void at::elementwise_kernel<128,",17.632,59.361162,1.9606533495794571,0.0,1.9606533495794571,scalar,33.02922792480809,8.46884864
LLM full128,82,nvjet_sm110_tst_128x128_64x8_2x1_2cta_v_bz_TNT,nvjet_attention,195.392,370.320996,34.25989381659326,32.97192793973141,1.287965876861856,tensor,92.51404642634215,460.3534045201441
LLM full128,83,"void at::vectorized_elementwise_kernel<4, at::<unnamed>::silu_kernel(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 6)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], std::array<char *, 2>>(int, T2, T3)",void at::vectorized_elementwise_,24.672,107.361868,88.2751754197977,0.0,88.2751754197977,scalar,822.2209343432596,8.59523584
LLM full128,84,nvjet_sm110_tst_128x128_64x8_2x1_2cta_v_bz_TNT,nvjet_attention,196.768,366.50431,34.02031412075107,32.741355017075946,1.278959103675116,tensor,92.82377639911265,493.2206160351277
LLM full128,85,"void at::vectorized_elementwise_kernel<4, at::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, binary_internal::MulFunctor<float>>, std::array<char *, 3>>(int, T2, T3)",void at::vectorized_elementwise_,45.6,114.487018,2.274357855133474,0.0,2.274357855133474,scalar,19.86563974557774,6.12765184
LLM full128,86,nvjet_sm110_tst_112x128_64x9_1x2_2cta_h_bz_TNN,nvjet_attention,221.824,366.169504,30.570506531172033,30.17756953260243,0.3929369985696,tensor,83.48730901187236,510.22528332371604
LLM full128,87,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<c10::BFloat16>, std::array<char *, 3>>(int, T2, T3)",void at::vectorized_elementwise_,19.84,88.848387,3.484903201276192,0.0,3.484903201276192,scalar,39.223032842185326,6.396928
