name,start_ns,end_ns,duration_ms
VLA/LLM,544029190124199,544029217880581,27.756382
VLA/backbone,544029160973033,544029218048293,57.07526
VLA/action_head/TensorRT_enqueue,544029224487850,544029226651004,2.163154
VLA/action_head/TensorRT,544029224192377,544029226803365,2.610988
VLA/action_head/DiT_step,544029224056175,544029226866421,2.810246
VLA/action_head/TensorRT_enqueue,544029229174261,544029231556859,2.382598
VLA/action_head/TensorRT,544029228790973,544029231743951,2.952978
VLA/action_head/DiT_step,544029228606974,544029231828331,3.221357
VLA/action_head/TensorRT_enqueue,544029234274698,544029235942928,1.66823
VLA/action_head/TensorRT,544029234062763,544029236079668,2.016905
VLA/action_head/DiT_step,544029233946912,544029236227807,2.280895
VLA/action_head/TensorRT_enqueue,544029238314758,544029244401334,6.086576
VLA/action_head/TensorRT,544029238058091,544029244493741,6.43565
VLA/action_head/DiT_step,544029237947582,544029244678361,6.730779
VLA/action_head/inference,544029222903824,544029245193249,22.289425
VLA/action_head,544029221655937,544029245305101,23.649164
VLA/ViT,544029319884293,544029345321631,25.437338
VLA/LLM,544029345848945,544029370004794,24.155849
VLA/backbone,544029319404525,544029370198006,50.793481
VLA/action_head/TensorRT_enqueue,544029376129573,544029378166570,2.036997
VLA/action_head/TensorRT,544029375823203,544029378261098,2.437895
VLA/action_head/DiT_step,544029375716092,544029378317765,2.601673
VLA/action_head/TensorRT_enqueue,544029380242771,544029382362713,2.119942
VLA/action_head/TensorRT,544029379962818,544029382450583,2.487765
VLA/action_head/DiT_step,544029379850013,544029382510759,2.660746
VLA/action_head/TensorRT_enqueue,544029384518451,544029386182939,1.664488
VLA/action_head/TensorRT,544029384289285,544029386240884,1.951599
VLA/action_head/DiT_step,544029384194294,544029386289986,2.095692
VLA/action_head/TensorRT_enqueue,544029388403751,544029395781474,7.377723
VLA/action_head/TensorRT,544029388122011,544029395965103,7.843092
VLA/action_head/DiT_step,544029387904252,544029396033871,8.129619
VLA/action_head/inference,544029374373723,544029396654408,22.280685
VLA/action_head,544029373759965,544029396775510,23.015545
VLA/ViT,544029475507241,544029504209203,28.701962
VLA/LLM,544029504774684,544029533407813,28.633129
VLA/backbone,544029475290825,544029533616211,58.325386
VLA/action_head/TensorRT_enqueue,544029539693000,544029541882098,2.189098
VLA/action_head/TensorRT,544029539307620,544029541972922,2.665302
VLA/action_head/DiT_step,544029539186491,544029542032497,2.846006
VLA/action_head/TensorRT_enqueue,544029544664576,544029546924509,2.259933
VLA/action_head/TensorRT,544029544299669,544029546984128,2.684459
VLA/action_head/DiT_step,544029544103216,544029547033888,2.930672
VLA/action_head/TensorRT_enqueue,544029550120208,544029551777326,1.657118
VLA/action_head/TensorRT,544029549471523,544029551839215,2.367692
VLA/action_head/DiT_step,544029549252486,544029551884650,2.632164
VLA/action_head/TensorRT_enqueue,544029553590972,544029559638927,6.047955
VLA/action_head/TensorRT,544029553212046,544029559734760,6.522714
VLA/action_head/DiT_step,544029552980242,544029559798501,6.818259
VLA/action_head/inference,544029537801113,544029560665111,22.863998
VLA/action_head,544029536846021,544029560833851,23.98783
