mode,from_label,to_label,success,write_overhead_ms,feedback_ms,stable_ms,status_repr
cpu,1.242GHz,1.242GHz,1,0.497112,2.231983,19.686084,"{'policy0': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy10': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy12': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy2': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy4': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy6': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy8': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}}"
cpu,1.242GHz,1.566GHz,1,1.028334,2.885224,15.849147,"{'policy0': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy10': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy12': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy2': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy4': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy6': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy8': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}}"
cpu,1.242GHz,1.836GHz,1,0.862334,11.173645,24.328595,"{'policy0': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}, 'policy10': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}, 'policy12': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}, 'policy2': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}, 'policy4': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}, 'policy6': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}, 'policy8': {'min_khz': 1836000, 'max_khz': 1836000, 'cur_khz': 1836000}}"
cpu,1.242GHz,2.160GHz,1,0.484926,11.125506,23.024086,"{'policy0': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}, 'policy10': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}, 'policy12': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}, 'policy2': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}, 'policy4': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}, 'policy6': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}, 'policy8': {'min_khz': 2160000, 'max_khz': 2160000, 'cur_khz': 2160000}}"
cpu,1.242GHz,2.430GHz,1,0.852574,3.034001,15.775544,"{'policy0': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}, 'policy10': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}, 'policy12': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}, 'policy2': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}, 'policy4': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}, 'policy6': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}, 'policy8': {'min_khz': 2430000, 'max_khz': 2430000, 'cur_khz': 2430000}}"
cpu,1.242GHz,2.601GHz,1,0.622084,3.157372,15.795674,"{'policy0': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}, 'policy10': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}, 'policy12': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}, 'policy2': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}, 'policy4': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}, 'policy6': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}, 'policy8': {'min_khz': 2601000, 'max_khz': 2601000, 'cur_khz': 2601000}}"
cpu,1.566GHz,default,1,0.776297,16.038405,49.447994,"{'policy0': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 270000}, 'policy10': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 54000}, 'policy12': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 54000}, 'policy2': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 108000}, 'policy4': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 108000}, 'policy6': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 54000}, 'policy8': {'min_khz': 54000, 'max_khz': 2601000, 'cur_khz': 54000}}"
cpu,1.566GHz,648MHz,1,1.753037,4.459252,19.750666,"{'policy0': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy10': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy12': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy2': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy4': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy6': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}, 'policy8': {'min_khz': 648000, 'max_khz': 648000, 'cur_khz': 648000}}"
cpu,1.566GHz,972MHz,1,0.393852,9.991615,22.762065,"{'policy0': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy10': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy12': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy2': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy4': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy6': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}, 'policy8': {'min_khz': 972000, 'max_khz': 972000, 'cur_khz': 972000}}"
cpu,1.566GHz,1.242GHz,1,0.401953,9.191077,21.696565,"{'policy0': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy10': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy12': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy2': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy4': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy6': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}, 'policy8': {'min_khz': 1242000, 'max_khz': 1242000, 'cur_khz': 1242000}}"
cpu,1.566GHz,1.566GHz,1,0.379918,1.919085,14.797091,"{'policy0': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy10': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy12': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy2': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy4': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy6': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}, 'policy8': {'min_khz': 1566000, 'max_khz': 1566000, 'cur_khz': 1566000}}"
